# ################
# FRESCO HA emitter catalogue v2
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
# ################
root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 15493 - 189.30702 62.2497400 2.5 5.188 3.366e-18 3.876e-19 -19.480 0.107 63.029 6.320
fresco-only-n-v2 15557 - 189.24216 62.2494500 3.0 5.849 2.346e-18 3.130e-19 -19.318 0.125 52.139 5.125
fresco-only-n-v2 15612 - 189.24925 62.2492700 3.0 5.577 1.033e-18 2.262e-19 -19.043 0.122 27.006 4.328
fresco-only-n-v2 15943 - 189.33341 62.2481300 3.0 5.307 5.838e-18 4.553e-19 -19.567 0.141 233.473 12.986
fresco-only-n-v2 15989 - 189.26365 62.2481800 2.75 5.202 2.716e-18 1.760e-19 -18.501 0.161 35.412 4.172
fresco-only-n-v2 16052 - 189.24255 62.2479900 2.0 5.851 1.997e-18 3.360e-19 -19.544 0.135 61.788 5.685
fresco-only-n-v2 16141 - 189.03926 62.2476700 2.0 5.703 1.365e-18 2.291e-19 -19.649 0.159 36.011 5.136
fresco-only-n-v2 16152 - 189.31055 62.2476200 2.75 5.193 8.792e-18 3.753e-19 -20.108 0.085 172.015 6.122
fresco-only-n-v2 16198 - 189.15455 62.2475500 3.0 5.272 3.574e-18 3.721e-19 -19.783 0.076 132.079 7.538
fresco-only-n-v2 16262 - 189.28103 62.2473100 3.0 5.538 2.881e-17 2.808e-19 -19.560 0.130 394.493 4.989
fresco-only-n-v2 16453 - 189.10818 62.2471700 3.0 6.046 3.015e-18 2.270e-19 -18.902 0.082 42.747 3.787
fresco-only-n-v2 16716 - 189.12575 62.2459700 3.0 5.268 2.153e-18 1.966e-19 -19.579 0.066 50.421 6.056
fresco-only-n-v2 17045 - 189.13367 62.2449900 3.0 5.259 2.074e-18 2.455e-19 -19.161 0.082 56.080 6.673
fresco-only-n-v2 17066 - 189.3408 62.2448200 3.0 5.224 4.590e-18 3.548e-19 -19.914 0.067 90.632 6.326
fresco-only-n-v2 17226 - 189.13463 62.2470200 2.0 5.029 3.940e-18 3.111e-19 -19.702 0.068 113.199 7.721
fresco-only-n-v2 17231 - 189.01585 62.2443500 2.75 5.313 4.511e-18 3.183e-19 -20.541 0.098 121.441 8.126
fresco-only-n-v2 17353 - 189.04962 62.2440300 3.0 5.442 1.465e-17 3.928e-19 -20.948 0.028 360.340 9.346
fresco-only-n-v2 17496 - 189.12886 62.2437700 2.0 5.421 1.771e-18 2.955e-19 -18.790 0.107 34.371 5.504
fresco-only-n-v2 18039 - 189.37229 62.2422500 1.75 4.940 1.412e-18 1.927e-19 -19.699 0.080 54.166 6.950
fresco-only-n-v2 18074 - 189.12415 62.2422300 3.0 5.271 4.286e-18 3.177e-19 -19.935 0.052 89.195 8.087
fresco-only-n-v2 18138 - 189.3358 62.2420400 3.0 5.224 4.478e-18 2.850e-19 -19.464 0.066 73.311 5.610
fresco-only-n-v2 18528 - 189.21142 62.2410500 2.0 5.692 1.695e-18 3.038e-19 -19.598 0.158 33.248 4.877
fresco-only-n-v2 18644 - 189.1749 62.2407200 2.0 5.546 2.548e-18 3.001e-19 -19.883 0.089 93.535 6.184
fresco-only-n-v2 18789 - 189.25663 62.2403100 3.0 5.580 1.973e-18 2.100e-19 -19.600 0.123 49.466 2.942
fresco-only-n-v2 18897 - 189.11941 62.2399300 3.0 5.296 5.029e-18 3.338e-19 -20.677 0.044 268.289 6.870
fresco-only-n-v2 18900 - 189.36386 62.2399200 2.0 5.253 1.704e-18 1.986e-19 -19.885 0.047 70.730 5.421
fresco-only-n-v2 19119 - 189.05777 62.2392800 3.0 5.446 6.570e-18 3.384e-19 -20.473 0.068 167.024 7.603
fresco-only-n-v2 19264 - 189.18086 62.2388800 2.0 5.545 2.703e-18 3.139e-19 -19.239 0.121 52.923 4.290
fresco-only-n-v2 19319 - 189.15601 62.2387100 3.0 5.437 1.157e-18 1.665e-19 -18.926 0.102 24.605 3.475
fresco-only-n-v2 19331 - 189.12004 62.2386700 3.0 5.272 6.532e-18 3.193e-19 -20.221 0.034 133.480 7.953
fresco-only-n-v2 19409 - 189.16927 62.2384700 3.0 5.421 3.685e-18 2.947e-19 -19.450 0.062 137.213 4.645
fresco-only-n-v2 19871 - 189.12619 62.2371700 1.75 4.928 7.572e-18 5.591e-19 -19.740 0.066 71.995 4.757
fresco-only-n-v2 19875 - 189.08386 62.2371400 3.0 5.299 3.606e-18 1.749e-19 -19.809 0.044 73.127 3.495
fresco-only-n-v2 19972 - 189.25461 62.2366700 2.25 5.093 2.914e-18 2.118e-19 -19.506 0.058 77.471 7.426
fresco-only-n-v2 19975 - 189.07829 62.2367800 3.0 6.046 1.816e-18 2.630e-19 -19.332 0.039 45.158 3.924
fresco-only-n-v2 20071 - 189.31434 62.2364400 2.25 5.090 4.835e-18 4.781e-19 -20.934 0.032 548.740 9.738
fresco-only-n-v2 20116 - 189.13668 62.2363000 2.5 5.301 9.188e-18 3.410e-19 -19.882 0.100 208.285 5.801
fresco-only-n-v2 20151 - 189.11904 62.2362500 3.0 5.269 5.794e-18 3.097e-19 -20.813 0.039 170.784 6.468
fresco-only-n-v2 20397 - 189.11796 62.2355000 3.0 5.268 2.365e-18 2.050e-19 -19.376 0.036 37.792 4.353
fresco-only-n-v2 20487 - 189.23579 62.2353200 3.0 5.285 2.987e-18 2.058e-19 -19.008 0.060 56.974 3.697
fresco-only-n-v2 21046 - 189.3203 62.2334300 3.0 5.188 2.415e-17 5.685e-19 -21.373 0.044 572.985 12.803
fresco-only-n-v2 21097 - 189.09367 62.2348100 2.0 5.245 1.744e-18 1.781e-19 -19.131 0.102 47.923 3.760
fresco-only-n-v2 21278 - 189.20843 62.2338200 2.0 5.798 4.455e-18 3.979e-19 -19.215 0.150 107.054 7.919
fresco-only-n-v2 21288 - 189.26082 62.2329500 2.0 5.365 1.358e-18 2.099e-19 -18.925 0.084 20.309 3.683
fresco-only-n-v2 21339 - 189.26049 62.2327700 3.0 5.362 1.991e-18 2.967e-19 -19.484 0.066 61.176 5.062
fresco-only-n-v2 21531 - 189.20819 62.2321100 3.0 5.794 2.527e-18 3.405e-19 -20.124 0.049 78.595 6.865
fresco-only-n-v2 21558 - 189.26131 62.2319500 3.0 5.538 5.819e-18 3.225e-19 -19.577 0.174 123.127 6.138
fresco-only-n-v2 21583 - 189.20703 62.2319100 2.0 5.796 1.278e-18 2.645e-19 -19.629 0.080 55.603 4.559
fresco-only-n-v2 21592 - 189.14939 62.2318500 3.0 5.296 6.868e-18 2.440e-19 -20.283 0.036 174.637 4.463
